Ranking diari,Audiencia,Cadena,Dia,Mes,Any
161,"2,6%",nova,07,01,2019
162,"2,6%",la2,07,01,2019
163,"2,5%",energy,07,01,2019
164,"2,5%",fdf,07,01,2019
165,"2,1%",neox,07,01,2019
166,"2,1%",13tv,07,01,2019
167,"2,0%",paramountchannel,07,01,2019
168,"1,8%",mega-espana,07,01,2019
169,"1,7%",divinity,07,01,2019
170,"1,5%",clan,07,01,2019
171,"1,5%",gol-television,07,01,2019
172,"1,5%",discoverymax,07,01,2019
173,"1,4%",boing,07,01,2019
174,"1,3%",atreseries,07,01,2019
175,"1,2%",disney-channel,07,01,2019
176,"0,7%",bemadtv,07,01,2019
177,"0,7%",dkiss,07,01,2019
178,"0,5%",canal24horas,07,01,2019
179,"0,5%",teledeporte,07,01,2019
180,"0,3%",ten,07,01,2019
181,"0,2%",real-madrid-tv,07,01,2019
182,"16,7%",telecinco,08,01,2019
183,"15,4%",antena3,08,01,2019
184,"8,6%",la1,08,01,2019
185,"8,2%",lasexta,08,01,2019
186,"4,4%",cuatro,08,01,2019
187,"2,8%",la2,08,01,2019
188,"2,7%",nova,08,01,2019
189,"2,6%",fdf,08,01,2019
190,"2,3%",neox,08,01,2019
191,"2,2%",energy,08,01,2019
192,"2,2%",13tv,08,01,2019
193,"1,6%",divinity,08,01,2019
194,"1,6%",clan,08,01,2019
195,"1,6%",paramountchannel,08,01,2019
196,"1,6%",mega-espana,08,01,2019
197,"1,5%",discoverymax,08,01,2019
198,"1,1%",atreseries,08,01,2019
199,"0,8%",dkiss,08,01,2019
200,"0,8%",boing,08,01,2019
201,"0,8%",canal24horas,08,01,2019
202,"0,7%",disney-channel,08,01,2019
203,"0,6%",gol-television,08,01,2019
204,"0,5%",teledeporte,08,01,2019
205,"0,4%",bemadtv,08,01,2019
206,"0,3%",ten,08,01,2019
207,"0,2%",real-madrid-tv,08,01,2019
208,"15,3%",antena3,09,01,2019
209,"14,1%",telecinco,09,01,2019
210,"8,5%",la1,09,01,2019
211,"8,0%",lasexta,09,01,2019
212,"4,7%",cuatro,09,01,2019
213,"2,7%",nova,09,01,2019
214,"2,6%",la2,09,01,2019
215,"2,5%",energy,09,01,2019
216,"2,5%",fdf,09,01,2019
217,"2,2%",neox,09,01,2019
218,"2,0%",13tv,09,01,2019
219,"1,8%",divinity,09,01,2019
220,"1,7%",mega-espana,09,01,2019
221,"1,7%",clan,09,01,2019
222,"1,7%",discoverymax,09,01,2019
223,"1,6%",paramountchannel,09,01,2019
224,"1,2%",atreseries,09,01,2019
225,"1,0%",boing,09,01,2019
226,"0,9%",dkiss,09,01,2019
227,"0,9%",canal24horas,09,01,2019
228,"0,9%",disney-channel,09,01,2019
229,"0,8%",gol-television,09,01,2019
230,"0,6%",bemadtv,09,01,2019
231,"0,5%",teledeporte,09,01,2019
232,"0,3%",ten,09,01,2019
233,"0,3%",real-madrid-tv,09,01,2019
234,"16,6%",telecinco,10,01,2019
235,"14,9%",antena3,10,01,2019
236,"8,9%",la1,10,01,2019
237,"8,6%",lasexta,10,01,2019
238,"4,0%",cuatro,10,01,2019
239,"2,6%",neox,10,01,2019
240,"2,6%",fdf,10,01,2019
241,"2,6%",la2,10,01,2019
242,"2,5%",nova,10,01,2019
243,"2,0%",energy,10,01,2019
244,"1,8%",13tv,10,01,2019
245,"1,7%",discoverymax,10,01,2019
246,"1,7%",paramountchannel,10,01,2019
247,"1,6%",mega-espana,10,01,2019
248,"1,5%",gol-television,10,01,2019
249,"1,5%",divinity,10,01,2019
250,"1,4%",clan,10,01,2019
251,"1,3%",atreseries,10,01,2019
252,"1,0%",boing,10,01,2019
253,"0,9%",disney-channel,10,01,2019
254,"0,7%",dkiss,10,01,2019
255,"0,6%",canal24horas,10,01,2019
256,"0,4%",teledeporte,10,01,2019
257,"0,4%",bemadtv,10,01,2019
258,"0,3%",ten,10,01,2019
259,"0,2%",real-madrid-tv,10,01,2019
260,"14,5%",telecinco,11,01,2019
261,"14,0%",antena3,11,01,2019
262,"9,1%",la1,11,01,2019
263,"8,3%",lasexta,11,01,2019
264,"4,3%",cuatro,11,01,2019
265,"2,7%",neox,11,01,2019
266,"2,6%",la2,11,01,2019
267,"2,5%",energy,11,01,2019
268,"2,4%",nova,11,01,2019
269,"2,3%",fdf,11,01,2019
270,"2,2%",13tv,11,01,2019
271,"2,0%",divinity,11,01,2019
272,"1,7%",discoverymax,11,01,2019
273,"1,6%",clan,11,01,2019
274,"1,4%",mega-espana,11,01,2019
275,"1,4%",paramountchannel,11,01,2019
276,"1,3%",atreseries,11,01,2019
277,"1,2%",boing,11,01,2019
278,"1,1%",disney-channel,11,01,2019
279,"1,0%",gol-television,11,01,2019
280,"0,7%",bemadtv,11,01,2019
