index,Audiencia,Año,Cadena,Dia,Mes
5,"2,6%",2019,nova,07,01
6,"2,6%",2019,la2,07,01
7,"2,5%",2019,energy,07,01
8,"2,5%",2019,fdf,07,01
9,"2,1%",2019,neox,07,01
10,"2,1%",2019,13tv,07,01
11,"2,0%",2019,paramountchannel,07,01
12,"1,8%",2019,mega-espana,07,01
13,"1,7%",2019,divinity,07,01
14,"1,5%",2019,clan,07,01
15,"1,5%",2019,gol-television,07,01
16,"1,5%",2019,discoverymax,07,01
17,"1,4%",2019,boing,07,01
18,"1,3%",2019,atreseries,07,01
19,"1,2%",2019,disney-channel,07,01
20,"0,7%",2019,bemadtv,07,01
21,"0,7%",2019,dkiss,07,01
22,"0,5%",2019,canal24horas,07,01
23,"0,5%",2019,teledeporte,07,01
24,"0,3%",2019,ten,07,01
25,"0,2%",2019,real-madrid-tv,07,01
0,"16,7%",2019,telecinco,08,01
1,"15,4%",2019,antena3,08,01
2,"8,6%",2019,la1,08,01
3,"8,2%",2019,lasexta,08,01
4,"4,4%",2019,cuatro,08,01
5,"2,8%",2019,la2,08,01
6,"2,7%",2019,nova,08,01
7,"2,6%",2019,fdf,08,01
8,"2,3%",2019,neox,08,01
9,"2,2%",2019,energy,08,01
10,"2,2%",2019,13tv,08,01
11,"1,6%",2019,divinity,08,01
12,"1,6%",2019,clan,08,01
13,"1,6%",2019,paramountchannel,08,01
14,"1,6%",2019,mega-espana,08,01
15,"1,5%",2019,discoverymax,08,01
16,"1,1%",2019,atreseries,08,01
17,"0,8%",2019,dkiss,08,01
18,"0,8%",2019,boing,08,01
19,"0,8%",2019,canal24horas,08,01
20,"0,7%",2019,disney-channel,08,01
21,"0,6%",2019,gol-television,08,01
22,"0,5%",2019,teledeporte,08,01
23,"0,4%",2019,bemadtv,08,01
24,"0,3%",2019,ten,08,01
25,"0,2%",2019,real-madrid-tv,08,01
0,"15,3%",2019,antena3,09,01
1,"14,1%",2019,telecinco,09,01
2,"8,5%",2019,la1,09,01
3,"8,0%",2019,lasexta,09,01
4,"4,7%",2019,cuatro,09,01
5,"2,7%",2019,nova,09,01
6,"2,6%",2019,la2,09,01
7,"2,5%",2019,energy,09,01
8,"2,5%",2019,fdf,09,01
9,"2,2%",2019,neox,09,01
10,"2,0%",2019,13tv,09,01
11,"1,8%",2019,divinity,09,01
12,"1,7%",2019,mega-espana,09,01
13,"1,7%",2019,clan,09,01
14,"1,7%",2019,discoverymax,09,01
15,"1,6%",2019,paramountchannel,09,01
16,"1,2%",2019,atreseries,09,01
17,"1,0%",2019,boing,09,01
18,"0,9%",2019,dkiss,09,01
19,"0,9%",2019,canal24horas,09,01
20,"0,9%",2019,disney-channel,09,01
21,"0,8%",2019,gol-television,09,01
22,"0,6%",2019,bemadtv,09,01
23,"0,5%",2019,teledeporte,09,01
24,"0,3%",2019,ten,09,01
25,"0,3%",2019,real-madrid-tv,09,01
0,"16,6%",2019,telecinco,10,01
1,"14,9%",2019,antena3,10,01
2,"8,9%",2019,la1,10,01
3,"8,6%",2019,lasexta,10,01
4,"4,0%",2019,cuatro,10,01
5,"2,6%",2019,neox,10,01
6,"2,6%",2019,fdf,10,01
7,"2,6%",2019,la2,10,01
8,"2,5%",2019,nova,10,01
9,"2,0%",2019,energy,10,01
10,"1,8%",2019,13tv,10,01
11,"1,7%",2019,discoverymax,10,01
12,"1,7%",2019,paramountchannel,10,01
13,"1,6%",2019,mega-espana,10,01
14,"1,5%",2019,gol-television,10,01
15,"1,5%",2019,divinity,10,01
16,"1,4%",2019,clan,10,01
17,"1,3%",2019,atreseries,10,01
18,"1,0%",2019,boing,10,01
19,"0,9%",2019,disney-channel,10,01
20,"0,7%",2019,dkiss,10,01
21,"0,6%",2019,canal24horas,10,01
22,"0,4%",2019,teledeporte,10,01
23,"0,4%",2019,bemadtv,10,01
24,"0,3%",2019,ten,10,01
25,"0,2%",2019,real-madrid-tv,10,01
0,"14,5%",2019,telecinco,11,01
1,"14,0%",2019,antena3,11,01
2,"9,1%",2019,la1,11,01
3,"8,3%",2019,lasexta,11,01
4,"4,3%",2019,cuatro,11,01
5,"2,7%",2019,neox,11,01
6,"2,6%",2019,la2,11,01
7,"2,5%",2019,energy,11,01
8,"2,4%",2019,nova,11,01
9,"2,3%",2019,fdf,11,01
10,"2,2%",2019,13tv,11,01
11,"2,0%",2019,divinity,11,01
12,"1,7%",2019,discoverymax,11,01
13,"1,6%",2019,clan,11,01
14,"1,4%",2019,mega-espana,11,01
15,"1,4%",2019,paramountchannel,11,01
16,"1,3%",2019,atreseries,11,01
17,"1,2%",2019,boing,11,01
18,"1,1%",2019,disney-channel,11,01
19,"1,0%",2019,gol-television,11,01
20,"0,7%",2019,bemadtv,11,01
21,"0,7%",2019,dkiss,11,01
22,"0,6%",2019,canal24horas,11,01
23,"0,6%",2019,teledeporte,11,01
24,"0,3%",2019,ten,11,01
25,"0,2%",2019,real-madrid-tv,11,01
0,"11,6%",2019,telecinco,12,01
1,"11,1%",2019,antena3,12,01
2,"9,4%",2019,la1,12,01
3,"6,7%",2019,cuatro,12,01
4,"6,4%",2019,lasexta,12,01
5,"3,0%",2019,la2,12,01
6,"2,9%",2019,fdf,12,01
7,"2,9%",2019,neox,12,01
8,"2,7%",2019,energy,12,01
9,"2,1%",2019,clan,12,01
10,"2,0%",2019,13tv,12,01
11,"1,9%",2019,paramountchannel,12,01
12,"1,7%",2019,divinity,12,01
13,"1,6%",2019,atreseries,12,01
14,"1,6%",2019,nova,12,01
15,"1,6%",2019,discoverymax,12,01
16,"1,5%",2019,mega-espana,12,01
17,"1,4%",2019,boing,12,01
18,"1,3%",2019,disney-channel,12,01
19,"1,0%",2019,gol-television,12,01
20,"0,8%",2019,canal24horas,12,01
21,"0,7%",2019,bemadtv,12,01
22,"0,7%",2019,dkiss,12,01
23,"0,5%",2019,teledeporte,12,01
24,"0,4%",2019,ten,12,01
25,"0,3%",2019,real-madrid-tv,12,01
0,"11,3%",2019,la1,13,01
1,"11,0%",2019,telecinco,13,01
2,"10,9%",2019,antena3,13,01
3,"7,0%",2019,cuatro,13,01
4,"5,8%",2019,lasexta,13,01
5,"2,9%",2019,fdf,13,01
6,"2,9%",2019,neox,13,01
7,"2,9%",2019,la2,13,01
8,"2,8%",2019,energy,13,01
9,"2,4%",2019,13tv,13,01
10,"1,8%",2019,paramountchannel,13,01
11,"1,7%",2019,clan,13,01
12,"1,7%",2019,divinity,13,01
13,"1,7%",2019,discoverymax,13,01
14,"1,6%",2019,nova,13,01
15,"1,5%",2019,mega-espana,13,01
16,"1,1%",2019,atreseries,13,01
17,"1,0%",2019,disney-channel,13,01
18,"1,0%",2019,gol-television,13,01
19,"1,0%",2019,boing,13,01
20,"0,8%",2019,canal24horas,13,01
21,"0,8%",2019,teledeporte,13,01
22,"0,7%",2019,bemadtv,13,01
23,"0,7%",2019,dkiss,13,01
24,"0,5%",2019,real-madrid-tv,13,01
25,"0,2%",2019,ten,13,01
0,"15,6%",2019,antena3,14,01
1,"15,1%",2019,telecinco,14,01
2,"9,8%",2019,la1,14,01
3,"7,9%",2019,lasexta,14,01
4,"4,6%",2019,cuatro,14,01
5,"2,7%",2019,nova,14,01
6,"2,7%",2019,la2,14,01
7,"2,5%",2019,fdf,14,01
8,"2,2%",2019,neox,14,01
9,"2,2%",2019,energy,14,01
10,"2,1%",2019,13tv,14,01
11,"1,8%",2019,divinity,14,01
12,"1,6%",2019,mega-espana,14,01
13,"1,5%",2019,clan,14,01
14,"1,5%",2019,paramountchannel,14,01
15,"1,5%",2019,discoverymax,14,01
16,"1,3%",2019,gol-television,14,01
17,"1,2%",2019,atreseries,14,01
18,"1,0%",2019,boing,14,01
19,"0,8%",2019,disney-channel,14,01
