Audiencia,Cadena,Fecha
"1,6%",discoverymax,2020-01-31
"1,6%",paramountchannel,2020-01-31
"1,4%",mega-espana,2020-01-31
"1,1%",boing,2020-01-31
"1,1%",gol-television,2020-01-31
"1,0%",dkiss,2020-01-31
"0,7%",canal24horas,2020-01-31
"0,7%",disney-channel,2020-01-31
"0,7%",ten,2020-01-31
"0,5%",bemadtv,2020-01-31
"0,3%",real-madrid-tv,2020-01-31
"0,2%",teledeporte,2020-01-31
